year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_nm,torque_max_rpm,engine_power_estimated,car_age,log_selling_price,brand
2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,200.0,1250.0,26.18075191119489,6,14.187074804051692,Mercedes-Benz
2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,200.0,1750.0,36.653052675672846,5,12.959846800844963,Honda
2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,400.0,2000.0,83.77840611582364,7,13.901689171636098,Mitsubishi
2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5,200.0,1750.0,36.653052675672846,5,13.304686600863562,Honda
2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,200.0,1750.0,36.653052675672846,5,13.171155446333852,Honda
2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,360.0,1200.0,45.24033930254477,4,14.316286451937186,Toyota
2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,200.0,1200.0,25.133521834747093,4,13.76421831620775,Toyota
2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5,380.0,1750.0,69.6408000837784,7,14.375126917328105,Audi
2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5,400.0,1750.0,73.30610535134569,7,14.340239086899256,Audi
2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5,400.0,1400.0,58.64488428107655,7,14.169683073439028,Mercedes-Benz
2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,200.0,1750.0,36.653052675672846,9,12.487488878546145,Tata
2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,111.7,4000.0,46.79023981568751,9,12.154784614286667,Hyundai
2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,219.6,1500.0,34.49575871819039,7,12.959846800844963,Hyundai
2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5,190.0,2000.0,39.794742905016236,5,13.353476685668044,Maruti
2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,112.0,4000.0,46.915907424861246,3,13.304686600863562,Ford
2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,48.1725835165986,1,13.384729180332174,Maruti
2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5,250.0,1500.0,39.271127866792334,4,13.199326270390594,Volkswagen
2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,200.0,1750.0,36.653052675672846,5,13.353476685668044,Honda
2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,90.0,3500.0,32.98774740810556,2,13.012550743537489,Maruti
2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,250.0,1500.0,39.271127866792334,3,13.122365377402328,Volkswagen
2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,200.0,1750.0,36.653052675672846,1,13.840204146163925,Maruti
2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,190.0,2000.0,39.794742905016236,4,13.353476685668044,Maruti
2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,343.0,1400.0,50.287988271023146,5,14.346139397261565,Toyota
2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,190.0,2000.0,39.794742905016236,7,13.017005083966255,Maruti
2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,130.0,4000.0,54.45596397528537,8,13.017005083966255,Maruti
2003,50000,70000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,17,10.819798284210286,Tata
2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,250.0,1500.0,39.271127866792334,7,13.017005083966255,Volkswagen
2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,200.0,1200.0,25.133521834747093,4,13.997832948091215,Toyota
2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,205.0,1750.0,37.569378992564666,5,13.321215875492413,Ford
2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5,280.0,1350.0,39.58529688972667,4,14.731801689838349,BMW
2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,90.0,3500.0,32.98774740810556,3,13.091904169919621,Maruti
2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,104.0,4000.0,43.5647711802283,4,12.524530013005734,Datsun
2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,25.290606346214265,4,12.660331092405906,Maruti
2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,69.0,3500.0,25.290606346214265,4,12.524530013005734,Maruti
2015,475000,78000,Diesel,Dealer,Manual,First Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,5,13.07107218827772,Maruti
2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,99.04,4500.0,46.672950047125354,8,12.577639650232573,Hyundai
2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,59.820564999999995,3000.0,18.793768457430094,3,12.54254845357358,Maruti
2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,77.0,3500.0,28.222850560268093,10,12.323860125621126,Maruti
2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,110.0,3750.0,43.198240653471565,5,13.02805489573287,Volkswagen
2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,99.04,4500.0,46.672950047125354,5,12.768544351446794,Hyundai
2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,153.0,3800.0,60.885956644674835,8,13.190023895035274,Volkswagen
2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,90.0,3500.0,32.98774740810556,11,12.07254696717504,Maruti
2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,113.7,4000.0,47.628023876845745,7,13.171155446333852,Hyundai
2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,190.0,2000.0,39.794742905016236,4,13.304686600863562,Maruti
2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,114.0,4000.0,47.75369148601948,4,13.244582780038517,Hyundai
2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,62.0,3000.0,19.478479421929,12,11.695255355062795,Maruti
2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,219.7,1500.0,34.5114671693371,3,13.493928313146206,Hyundai
2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,90.0,3500.0,32.98774740810556,11,12.128116509451258,Maruti
2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,200.0,1750.0,36.653052675672846,10,12.206077645517674,Tata
2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,49.70153942821238,1,13.329379172803593,Maruti
2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,115.0,4000.0,48.1725835165986,2,13.321215875492413,Maruti
2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,290.0,1800.0,54.66540999057493,6,13.345508528717259,Mahindra
2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,120.0,4250.0,53.408733898837575,0,12.899222326086994,Ford
2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,151.0,4850.0,76.69389464865431,3,13.671641342278317,Hyundai
2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5,250.0,1500.0,39.271127866792334,10,13.45883704259595,Volkswagen
2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7,360.0,1750.0,65.97549481621112,1,14.346139397261565,Mahindra
2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,135.0,2500.0,35.3440150801131,4,12.834683971615659,Tata
2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,259.8,1900.0,51.69337103361609,7,13.165424782571753,Hyundai
2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,219.6,1500.0,34.49575871819039,7,13.021437458814368,Hyundai
2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,173.0,4000.0,72.46832129018746,11,12.611541086966115,Toyota
2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,90.0,3500.0,32.98774740810556,0,13.07107218827772,Maruti
2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,200.0,1750.0,36.653052675672846,4,13.567050480716235,Maruti
2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,48.1725835165986,3,13.296318365198623,Maruti
2010,300000,120000,Diesel,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,10,12.611541086966115,Maruti
2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,200.0,1900.0,39.794742905016236,6,12.899222326086994,Nissan
2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,259.9,1900.0,51.71326840506859,4,13.946539697563276,Hyundai
2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,190.0,2000.0,39.794742905016236,8,12.821260987319457,Maruti
2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,91.0,4250.0,40.5016232066185,2,12.765691290604371,Renault
2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,90.0,3500.0,32.98774740810556,5,12.793862088206213,Maruti
2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,62.0,3000.0,19.478479421929,12,11.561725152903833,Maruti
2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,96.1,3000.0,30.191643103989946,11,11.813037464800539,Hyundai
2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,200.0,1750.0,36.653052675672846,5,13.45883704259595,Maruti
2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,109.0,4500.0,51.36663524976437,1,13.444448325847754,Honda
2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5,400.0,1750.0,73.30610535134569,2,15.195535557642865,Audi
2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,202.0,3600.0,76.15457115928369,1,15.454507466814658,Lexus
2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5,430.0,1750.0,78.80406325269662,3,14.978661680269907,Jaguar
2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7,382.0,1750.0,70.00733061053513,1,15.319588176962746,Land Rover
2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5,620.0,1600.0,103.88522358362133,3,15.607270193858982,Mercedes-Benz
2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5,400.0,1750.0,73.30610535134569,2,15.147876840910817,BMW
2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,3,14.580978865220017,BMW
2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5,400.0,1750.0,73.30610535134569,1,15.573368647930426,BMW
2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,250.0,1250.0,32.725939888993615,2,14.438771611060053,Skoda
2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5,500.0,1600.0,83.77840611582364,4,14.80876270134486,Mercedes-Benz
2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,250.0,1600.0,41.88920305791182,1,14.375126917328105,MG
2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,173.0,4000.0,72.46832129018746,7,13.345508528717259,Toyota
2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5,400.0,2000.0,39.271127866792334,2,15.039286283703994,Volvo
2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7,550.0,1750.0,100.79589485810033,5,14.790070575320824,Audi
2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,200.0,1750.0,36.653052675672846,5,13.190023895035274,Maruti
2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5,490.0,1600.0,82.10283799350718,3,15.581952390148196,Mercedes-Benz
2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,250.0,2750.0,71.99706775578595,10,13.790193775620484,BMW
2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5,430.0,1750.0,78.80406325269662,3,14.78059183496017,Jaguar
2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,170.0,1750.0,31.155094774321917,2,13.606024566142413,Tata
2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,153.0,3800.0,60.885956644674835,9,12.834683971615659,Volkswagen
2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,177.5,4700.0,87.36516912765735,8,13.217675375388819,Hyundai
2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,153.0,3800.0,60.885956644674835,4,13.377007146164305,Skoda
2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5,300.0,1200.0,37.70028275212064,2,14.751604309291395,Mercedes-Benz
2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,300.0,1200.0,37.70028275212064,3,14.80876270134486,Mercedes-Benz
2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,146.0,4800.0,73.38988375746152,3,13.681980308196241,Honda
2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,113.0,4200.0,49.70153942821238,1,13.704578997256993,Toyota
2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,90.0,3500.0,32.98774740810556,9,12.07254696717504,Maruti
2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,49.70153942821238,8,12.73670383776449,Maruti
2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,260.0,1500.0,40.841972981464025,2,13.840204146163925,Tata
2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5,400.0,1750.0,73.30610535134569,4,14.580978865220017,BMW
2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,213.0,4500.0,100.37700282752121,4,14.45736497045232,Toyota
2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5,400.0,1750.0,73.30610535134569,4,14.88022163978423,BMW
2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,224.0,4000.0,93.83181484972249,11,13.017005083966255,Toyota
2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,130.0,4000.0,54.45596397528537,4,13.652992804936396,Maruti
2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4,640.0,1740.0,116.61954131322652,3,16.118095750958314,Volvo
2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,112.0,4000.0,46.915907424861246,2,13.26212705890841,Ford
2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,160.0,2000.0,33.51136244632946,9,11.982935344196433,Ford
2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,49.70153942821238,5,13.151924121391561,Maruti
2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,90.0,3500.0,32.98774740810556,5,12.873904582205107,Maruti
2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,114.7,4000.0,48.04691590742486,4,13.217675375388819,Hyundai
1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,59.0,2500.0,15.446643627604985,21,10.596659732783579,Maruti
2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,113.0,4500.0,53.251649387370406,10,12.301387370778713,Maruti
2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,114.0,4000.0,47.75369148601948,5,12.959846800844963,Hyundai
2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,95.0,3000.0,29.846057178762173,1,13.081543466215237,Volkswagen
2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,114.0,4000.0,47.75369148601948,6,13.096021455450709,Maruti
2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,114.0,4000.0,47.75369148601948,4,12.863595239117187,Hyundai
2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,128.46711499999998,4600.0,61.88592826473975,15,11.51293546492023,Honda
2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,205.0,1800.0,38.64278982092366,10,12.611541086966115,Toyota
2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,71.0,3500.0,26.02366739972772,20,11.51293546492023,Daewoo
2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7,343.0,1400.0,50.287988271023146,6,14.375126917328105,Toyota
2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,115.0,3500.0,42.15101057702377,4,13.017005083966255,Mahindra
2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,190.0,1750.0,34.8204000418892,3,13.102162710901053,Tata
2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,146.0,4800.0,73.38988375746152,11,12.75130259456002,Honda
2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,78.0,4500.0,36.757775683317625,15,11.350418300109132,Maruti
2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,115.0,3200.0,38.538066813278874,15,11.082157933374816,Hyundai
2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,200.0,1750.0,36.653052675672846,3,13.592368256649284,Maruti
2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,114.0,3500.0,41.78448005026704,1,13.161586013632684,Tata
2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,200.0,1750.0,36.653052675672846,5,13.270785106659046,Maruti
2012,235000,120000,Diesel,Individual,Manual,First Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,8,12.367345048436391,Toyota
2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,145.0,4600.0,69.85024609906796,5,13.304686600863562,Honda
2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,77.0,3500.0,28.222850560268093,4,12.793862088206213,Maruti
2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,115.0,4000.0,48.1725835165986,3,13.217675375388819,Maruti
2003,40000,90000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5,153.0,2000.0,39.271127866792334,17,10.596659732783579,Maruti
2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,90.0,3500.0,32.98774740810556,2,12.948012371209098,Maruti
2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,113.0,4200.0,49.70153942821238,3,13.217675375388819,Maruti
2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,113.0,4200.0,49.70153942821238,2,13.45883704259595,Maruti
2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,113.0,4200.0,49.70153942821238,3,13.122365377402328,Maruti
2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,320.0,1500.0,50.267043669494186,1,14.038654909278163,Tata
2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,113.7,4000.0,47.628023876845745,7,12.676079399771027,Hyundai
2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,190.0,2000.0,39.794742905016236,2,13.45883704259595,Maruti
2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,90.0,3500.0,32.98774740810556,5,12.577639650232573,Maruti
